gameid,role,gameLength,thinksHuman,understandsInstructions,nativeEnglish,ratePartner,comments,strategy
0925-bc219375-7a80-4963-8ea0-03854bb7aa4f,matcher,1012592,no,yes,yes,okay,,Listened to the simple instructions. If the instructions were not clear enough I had to guess. 
0925-bc219375-7a80-4963-8ea0-03854bb7aa4f,director,1066315,no,yes,yes,okay,"NA",I simple followed the instructions
6867-fca7bfc4-d76e-4ea3-8f49-a605d6ad4cc3,matcher,1779325,no,yes,yes,okay,This was fun.,I don't really think there was a strategy. They told me exactly what to do so I did it without any thoughts.
8181-5b943f79-f3a7-4b00-9e30-648b53212d3a,director,1487582,yes,yes,yes,not much,,straight forward and easy to understand
6708-44bfb893-c34e-412a-9f7a-e95b79d6eab1,matcher,1139304,yes,yes,yes,loved,Very fun! ,followed the descriptions of what the person gave.
6708-44bfb893-c34e-412a-9f7a-e95b79d6eab1,director,1159294,yes,yes,yes,liked,,two people working together to solve an problem
1530-63446cf3-b006-4888-8af1-dc928951fabb,director,827190,yes,yes,yes,loved,Thanks for the HIT!,I just instructed my partner to move the right objects to wherever they needed to go. 
1530-63446cf3-b006-4888-8af1-dc928951fabb,matcher,802716,no,yes,yes,loved,Everything was fine.,I simply moved the objects as instructed.
5218-1b6b0df7-63b6-440f-8e22-de9217a8e1b1,matcher,752652,yes,yes,yes,liked,,"I followed the instructions that they gave me. They usually gave good descriptions. There was only one instance where they said eraser and I forgot they couldn't see behind the one curtain and I moved that one. Other than that, I understood what they meant. My partner communicated well."
1580-4762ca9e-da2d-4bb3-bc84-2d913edcee4f,director,1461973,yes,yes,yes,okay,,I didn't have a stratgey
2061-da69236f-9200-4ed8-aaf0-58fe064fa29b,matcher,601610,no,yes,yes,loved,,Just followed the director as best I could
1459-7eeb4d17-275d-4664-a1af-1462bef639e0,director,789672,yes,yes,yes,liked,was on the edge hoping my partner would od everything correctly.,described items concisely 
1459-7eeb4d17-275d-4664-a1af-1462bef639e0,matcher,786362,yes,yes,yes,liked,,"after i figured out he couldn't see the items behind the curtain i knew that's the one i shouldn't move- for example when he asked me to move the mouse, and a real mouse was behind the curtain i moved the computer mouse since i knew he couldn't see the real one"
0093-b4e1ce5c-2e5c-462a-bfed-87fa81611139,director,1567970,yes,yes,yes,liked,noone,it worked
4783-4b92f9f8-da8a-46a3-8979-c6d0d2eed211,director,694114,no,yes,yes,okay,I didn't like it when the directions were automatically filled in for me.,Just name the object and give the direction/space.
7689-97d4aba1-5f4f-41cd-9b65-b1f6222f20bc,director,1024443,yes,yes,yes,loved,No,I just described what color the object was.
0054-0f179884-b136-4292-8dd7-fb6fb720c7f0,director,1179592,yes,yes,yes,okay,no,keep it simple
0849-3c0ff096-1ccb-4100-bc6e-640aef71617b,director,894220,yes,yes,yes,loved,It was very easy. ,I use the name of the object and the direction it needed to go. I became more descriptive if I thought that there was any potential for ambiguity. 
6229-27cb9668-3653-4e1b-a73d-a44746d18b32,matcher,873010,yes,yes,yes,loved,,Just followed the directions of my partner
0964-f074949a-e3b5-4eb5-a3af-c16348d6b0bd,director,201310,yes,yes,yes,okay,,basic direction knowledge
1902-d09f4a57-3905-44dd-ae98-be36bce68361,matcher,1661449,yes,yes,yes,not much,"you claim it would take 10 minutes, but it takes more than 30",reading
6229-27cb9668-3653-4e1b-a73d-a44746d18b32,director,962682,yes,yes,yes,loved,,I did my best to make the game simple and easy for the other player to understand to maximize the bonus. 
7243-acd434ec-b5d6-4d4e-8c98-bc4cdb2b00ec,director,761862,yes,yes,NA,loved,,we both listened to each other 
4783-4b92f9f8-da8a-46a3-8979-c6d0d2eed211,matcher,622507,no,yes,yes,loved,Enjoyed HIT!,Listening to director's instructions as carefully and attentively as possible.
7689-97d4aba1-5f4f-41cd-9b65-b1f6222f20bc,matcher,1129073,yes,yes,yes,loved,,neutral
1468-25198c65-b310-4335-ab82-0a9e738378cb,matcher,122530,yes,yes,yes,not much,no,bad
0043-06d2e329-051d-4c4b-898a-1b45447c5290,director,917010,yes,yes,yes,loved,It was fun.  I was waiting for you to test my memory of what was moved behind a curtain.  Or to ask for an item to be moved from behind a curtain which I didn't know the identity of.  Thank you for not doing that!,"At first I figured the other player would only move the objects that weren't behind the curtains because they should have known that I didn't know they were there.  That didn't work every time so I began describing the objects in more detail.  Later, I shortened the commands to just item name and direction to speed things up."
0043-06d2e329-051d-4c4b-898a-1b45447c5290,matcher,729616,no,yes,yes,loved,,I listened to what the other person told me.
2330-f0a1f680-40cc-402e-807d-23882b89bdff,director,938130,yes,confused,yes,liked,I was not entirely sure if I was using the descriptions correctly. It forced me to submit some auto filled ones which I dont recall reading in the instructions but I figured it was the format it was supposed to be in so I worded the rest of the questions like that.,To describe the objects color.
3750-0352fcb7-a7e4-4895-899a-dbe156f139df,matcher,669409,yes,yes,yes,okay,Thank you for allowing me to participate!,I just followed the instructions of the director
4654-18429eb7-4402-4161-b97e-cbb4e3adeb7b,matcher,458269,yes,yes,yes,liked,,I just tried to follow the exact specifications of the director.
8440-74c8eb37-4fcf-4c6a-b8f0-1e7cedb983a0,matcher,733979,yes,yes,yes,liked,,There wasn't really a need for strategy. I just read what the director said and it was pretty straight forward to deduce what I needed to do.
7624-3c1b623b-35f4-4cbe-b1be-286bb5049d51,matcher,1310797,yes,yes,yes,okay,,follow directions
9856-71d419c9-4739-4d4c-bc4d-2bfb5551b540,director,1006131,no,yes,yes,okay,,Follow examples given and keep it simple
7624-3c1b623b-35f4-4cbe-b1be-286bb5049d51,director,1405136,yes,yes,yes,okay,it was somewhat strange at first,explained the directions as clearly as possible
0093-b4e1ce5c-2e5c-462a-bfed-87fa81611139,matcher,1465108,no,yes,yes,okay,,I followed what the director said to do. 
0054-0f179884-b136-4292-8dd7-fb6fb720c7f0,matcher,1215813,yes,yes,yes,liked,,At first I just followed instructions. It hit me later that they couldn't see what I saw and that multiple items were defined the same. I'm tired so I was slow to do so. 
7635-ae02f05a-ec28-4785-8542-f45af53fa496,director,501812,yes,yes,yes,loved,,i was guiding through grids and was giving clear istructions to matcher
1282-095baeaa-3ebc-45b0-bd8f-004a168bbf21,director,1661016,no,yes,yes,liked,Sometimes the chat comments were already there for me so I couldn't come up with my own,The strategy was a dependent strategy where you must work with someone to complete the task.
1282-095baeaa-3ebc-45b0-bd8f-004a168bbf21,matcher,1432399,yes,yes,yes,loved,Thanks so much.,I merely followed my partner's instructions.
4230-a88d183a-6d82-4aa2-b5b3-194fd9deb2a0,matcher,1350840,no,yes,yes,liked,Really made me wonder what things look like to the director.,"Most of the time is was very straightforward - just do exactly as I was told. A couple times things were ambiguous, so I had to weigh what he or she might have actually meant.  One time I was told to move the ""bottom block"" and saw only one block. But direction to move made it obvious that's the only one that could be moved."
8514-5a019ae6-9774-46f7-b52b-36454d7adc0c,director,745087,yes,yes,yes,okay,"no, partner did not complete though would have liked to finish.","tried to use minimal directions, clear and direct"
6729-d84430fa-22ab-40e1-aa07-9784a3bc0722,matcher,836129,no,yes,yes,okay,it was confusing when there was multiple pictures that could describe the item ,just read what was told to me 
5106-87778c2e-b0d4-4aa0-881f-824ae700e248,matcher,1178629,yes,yes,no,loved,nice and enjoyable i love to work on that HIT,nice and prompt but all depend the participant
5599-08d184b2-7eb9-43e9-8b24-18c3b1c517a1,director,129672,yes,yes,yes,okay,This was a fun experiment. I am a little disappointed that my partner disconnected from the experiment though.,Identify the object in question and state how many spaces that object must be moved.
5707-ac526852-17d2-48e8-bb09-cbfdc564089f,director,1265633,no,yes,yes,liked,"don't understand the point of the curtains, since they did not seem to inhibit the object-mover.","It was really straightforward, once I knew I could actually name the object, ha. I said to move X object one space to the left/right/up/down. Easy."
5707-ac526852-17d2-48e8-bb09-cbfdc564089f,matcher,1184350,no,yes,yes,liked,,I didn't see a need for a strategy...just to follow the instructions of the director
2417-f105caf3-b5fd-4059-9b5b-4b0710bef7da,matcher,1058085,no,yes,yes,okay,,followed directions
0621-d4706677-e888-487c-ab9d-3770f3986f4b,director,1411334,yes,yes,yes,liked,"I didn't like how on certain objects I couldn't answer my partner's questions.  These were ones where I had to use a response already prepared for me, and it was usually vague and needed clarification that they asked for and  I wanted to give but was prevented from doing.",I just told them to move the object in the direction of the arrow.  If I couldn't tell what the object was I tried to describe the shape and failed.  Then I tried to just guess what it night have been and said that and it worked.
1902-d09f4a57-3905-44dd-ae98-be36bce68361,director,1691513,yes,yes,yes,liked,,Use move that object. Then what move
9555-b7652692-1cfa-43c5-a0fb-e4ba4682d200,director,589149,yes,yes,yes,okay,none,Tried my best to tell him some good hints
0703-105364fd-093f-4581-8bb3-367580400bf4,matcher,754077,yes,yes,yes,loved,,It was common sense.
5035-3e68b0b0-161c-4a2a-a80e-91bc93cc4a5a,director,340978,yes,yes,yes,loved,I'm disappointed that my partner was disconnected. It seemed pretty easy and I wanted to see if we could finish with a perfect record.,It was pretty much to accurately describe where to move each specific item following the same wording as the example provided in the first round.
8440-74c8eb37-4fcf-4c6a-b8f0-1e7cedb983a0,director,668840,no,yes,yes,loved,,"clear, descriptive words"
8558-1965dc82-dc2c-42ea-be04-6af05278b5d9,director,698073,yes,yes,no,liked,,describe the object and then describe direction to move it
4920-4abddfbc-bde8-4fda-b4dc-8865267fd65b,director,180105,yes,yes,yes,okay,,I just tried to give accurate direction without describing the grid
2171-b43de3b8-2af5-4e83-b8d2-8e6e4a938c8f,matcher,836157,yes,yes,yes,okay,"It seems a little too easy to the point I was completely confident until you asked and that makes me worry there was some trick. 

I refrained from communicating pointless information (I knew he couldn't see items that might correspond to what he described) and did make some informed guesses about him misidentifying like spoon/wrench. If you wanted more communication you should have paid more than a cent per correct answer. ",I did what the other guy told me even though he was a bit inaccurate and also slow. Which is why I think he was human and probably working other HITs or something. 
3785-62760656-7999-442d-9e6e-80d57f6997d3,director,483573,yes,yes,yes,okay,,Tried to be concise
7780-91e7f829-76b3-474e-8a56-bce331d65d6b,matcher,433562,yes,yes,yes,loved,,I tried my best to move the correct object described by the Director
4694-055e34cd-c722-495d-aafa-d349829c3c02,matcher,664704,yes,yes,yes,okay,,I just followed the instructions
3211-fbe14ddb-629f-462b-a888-1838770f3fa6,director,1012805,yes,yes,yes,loved,I spaced on the item description sorry about that,Completly forgot to list the item at first then I just tried to keep it simple
7483-937857fa-3762-45d4-8273-61f4152c65fe,matcher,723862,yes,yes,yes,liked,,Just tried to listen to the description.
2417-f105caf3-b5fd-4059-9b5b-4b0710bef7da,director,1067925,yes,yes,yes,okay,,I just gave clear instructions.
7975-32a7aea5-ac36-46c8-aee9-e8872dc31ce9,matcher,199941,yes,yes,yes,okay,We got disconnected too soon. Bummer! I hope my participation helped your study though. Thanks and have a great day!,I just followed the director's instructions.
4230-a88d183a-6d82-4aa2-b5b3-194fd9deb2a0,director,1293561,yes,yes,yes,okay,No,Clear
4901-015f795a-d06b-4dc7-85ef-99da4e7b0616,matcher,57589,yes,yes,yes,okay,,Good
7243-acd434ec-b5d6-4d4e-8c98-bc4cdb2b00ec,matcher,785139,yes,yes,yes,okay,no,basic
0703-105364fd-093f-4581-8bb3-367580400bf4,director,756669,no,yes,yes,okay,,Just explained it simply
2551-8ca31618-cc9a-40a6-a06d-b843129fdce8,director,748535,yes,yes,yes,liked,:),straight forward and descriptive of each item. i told which direction to move and how many squares to move
0849-3c0ff096-1ccb-4100-bc6e-640aef71617b,matcher,906877,NA,yes,NA,NA,I wonder what it is you are studying.,Participatory.
0439-894baa37-3fc0-4e4d-b2c1-2b700e1215ba,director,1104953,yes,yes,yes,okay,,To be direct and concise.
8193-460db540-c364-46c4-b148-bd646ae2c051,matcher,1156528,yes,yes,yes,liked,,"As the game progressed, we realized that the director had to give extra details to describe the object, since there were sometimes two objects that could be called the same thing (i.e. cassette tape and scotch tape)"
7744-d41dd430-a713-4edf-a863-c1cde5455560,matcher,1148495,no,yes,yes,okay,I do not.,"I just went with what the other ""person"" said, and used my gut when it wasnt clear."
1757-fed9dbb6-64f8-4dfb-9f0d-9b9891fd464d,matcher,715282,yes,yes,yes,loved,It was interesting and id be glad to do another hit like it,"They told me what item to move and where, which i think wasnt supposed to happen. But there were some instances where there were two items fitting the same description they described and it was confusing."
0964-f074949a-e3b5-4eb5-a3af-c16348d6b0bd,matcher,176190,yes,yes,yes,loved,It was very interesting,Clearing all my doubts
8329-a6644202-1196-4ad4-8f86-5ac901b1ebc6,director,1106599,yes,yes,yes,okay,,I tried to keep my instructions simple and clear after the first few questions
2551-8ca31618-cc9a-40a6-a06d-b843129fdce8,matcher,702400,yes,yes,yes,loved,It was interesting,I followed the instructions given by the player
8193-460db540-c364-46c4-b148-bd646ae2c051,director,1099604,yes,yes,yes,loved,"Fun HIT, thanks.",I tried to adjust my instructions based on feedback from my partner.
9152-10896ddf-80ef-429f-ae5d-c76949f3402a,matcher,394313,yes,yes,yes,not much,"The matcher said ""move the brush left"" but each time I did, it said I was wrong.",I followed the matcher's directions
2639-58581614-3b73-42d8-952a-7193e7b52b79,director,652091,yes,yes,yes,liked,,using clear descriptive words
5041-402509fd-fa04-4bc8-932a-2ef7457c88d3,matcher,733827,no,yes,yes,okay,no comment,I did not have a strategy. It was not always easy to figure out which object they were referring to because a few times there were similar items so I just guessed which one.
0715-06250ca0-7a76-4415-8f41-b39fa652d804,director,1139294,yes,yes,yes,liked,Thank you,just did the best I could...was clear and straightforward with instructions. 
5065-6d060ded-4488-4321-8275-54a8a6d3d7d4,director,231571,NA,NA,NA,NA,"This is the error that I received. I am just posting so I don't have a rejected hit for not completing the work. ""

Oops! It looks like your partner lost their connection!
Completing this survey will submit your HIT so you will still receive full compensation.

If you experience any problems, please email us (rxdh@stanford.edu)""",It said my partner lost connection before we started but to still submit
2639-58581614-3b73-42d8-952a-7193e7b52b79,matcher,575855,yes,yes,yes,liked,nope,follow instructions
1627-6d009f25-8f2e-4d59-8756-8ce5dbb255b6,matcher,908177,yes,NA,yes,NA,,
2388-41d9ba83-3ce4-40be-abe1-1afff9a441fc,director,1098668,no,yes,yes,liked,,I copied the format of the given commands.
7442-132af559-eb4a-43ba-bd4b-86b64aa5c6db,director,1923575,no,yes,yes,liked,That was fun!,Having fun!
1757-fed9dbb6-64f8-4dfb-9f0d-9b9891fd464d,director,646483,yes,yes,yes,loved,this was a very fun experiment. I really enjoyed doing it.,my strategy was to be as clear and concise as I could possibly be when giving out instructions
2762-7c6e403e-e6c1-434c-a474-f37162627a34,director,1083296,no,yes,yes,liked,Fun,Clearly state the object needed to move and location
7442-132af559-eb4a-43ba-bd4b-86b64aa5c6db,matcher,2038958,yes,yes,yes,loved,a few times i was confused but overall i think i did understand ,i just followed the directions to the best i could and i realized after making a mistake that i needed to pay closer attention to objects having the same names and i also understood alot of the analogies so i was able to follow the directions well 
8712-3da310b4-6a34-489a-8e2e-238d9174810a,director,710840,yes,yes,yes,loved,was fun.,be as descriptive as possible. 
7066-b04dd4c1-8e43-468a-9a00-45d532b13d86,director,733369,yes,yes,yes,loved,No,I was giving clear instructions to move objects to matcher
2647-ea0408bb-61ca-4c52-9583-6826b86967a2,matcher,1058496,yes,yes,yes,liked,fun,Listening and following directions 
1710-2b2ffe4f-4e15-46f3-a881-2bb207e6f943,matcher,1601088,yes,yes,yes,liked,Good one,I just followed Director's Instructions
