gameid,objectSet,text
0914-515eaa37-ca0b-49de-8ade-e23d75984698,5,move the round barrel hairbrush in the bottom row one square to the left away from the red curtained cubby
0993-d2ff1751-f174-40fd-9d1c-f702d5e1ee50,2,"Doing Great!  3rd Row, move block from box 4 to box 3"
0993-d2ff1751-f174-40fd-9d1c-f702d5e1ee50,3,Row 1 move cassette tape from row 1 box 3 down to row 2 box 3
0993-d2ff1751-f174-40fd-9d1c-f702d5e1ee50,5,Hair brush row 4 box 3 move to box 2
0993-d2ff1751-f174-40fd-9d1c-f702d5e1ee50,1,"sunglasses row 4 box 3, move to box 4"
0993-d2ff1751-f174-40fd-9d1c-f702d5e1ee50,7,candle row 1 box 1 move down to row 2 box 1
0993-d2ff1751-f174-40fd-9d1c-f702d5e1ee50,6,eraser move up
0993-d2ff1751-f174-40fd-9d1c-f702d5e1ee50,8,mouse move up
0993-d2ff1751-f174-40fd-9d1c-f702d5e1ee50,4,measuring cup row 3 box 4 move down
1336-781ddb71-735d-4dfe-90de-9b2b85a89f15,5,Move the hairbrush to the left
1336-781ddb71-735d-4dfe-90de-9b2b85a89f15,1,move the glasses right
1336-781ddb71-735d-4dfe-90de-9b2b85a89f15,2,move the block left
1336-781ddb71-735d-4dfe-90de-9b2b85a89f15,6,move the eraser up
1336-781ddb71-735d-4dfe-90de-9b2b85a89f15,7,move the candle down
1336-781ddb71-735d-4dfe-90de-9b2b85a89f15,4,move the measuring cup down
1336-781ddb71-735d-4dfe-90de-9b2b85a89f15,8,move the mouse up
1336-781ddb71-735d-4dfe-90de-9b2b85a89f15,3,move the tape down
1355-f0a9740c-e244-4ea6-bda8-026465ddf941,4,please take the cup with a handle and move it down one square~~~
1355-f0a9740c-e244-4ea6-bda8-026465ddf941,5,Please move the hairbrush one square to the left~~~
1355-f0a9740c-e244-4ea6-bda8-026465ddf941,3,Please move the cassette one square down~~~
1355-f0a9740c-e244-4ea6-bda8-026465ddf941,7,Please move the candle one square down~~~
1355-f0a9740c-e244-4ea6-bda8-026465ddf941,2,Please move the block one square to the left~~~
1355-f0a9740c-e244-4ea6-bda8-026465ddf941,1,Please move the glasses one square to the right~~~
1355-f0a9740c-e244-4ea6-bda8-026465ddf941,8,Please move the mouse up one square~~~
1355-f0a9740c-e244-4ea6-bda8-026465ddf941,6,Please move the eraser up one square~~~
1423-c9e58987-02a2-4277-a40a-a24bc9f38de3,7,move the candlestick down one square
1423-c9e58987-02a2-4277-a40a-a24bc9f38de3,5,move hairbrush left one square
1423-c9e58987-02a2-4277-a40a-a24bc9f38de3,2,move block with B left one square
1423-c9e58987-02a2-4277-a40a-a24bc9f38de3,4,move pyrex measuring cup down one square
1423-c9e58987-02a2-4277-a40a-a24bc9f38de3,3,move casette tape down
1423-c9e58987-02a2-4277-a40a-a24bc9f38de3,1,sunglasses right
1423-c9e58987-02a2-4277-a40a-a24bc9f38de3,8,mouse up
1423-c9e58987-02a2-4277-a40a-a24bc9f38de3,6,eraser up
1455-83f094ea-1b7b-4dc9-b309-37f9718b45f5,4,move pyrex measuring cup down one square
1455-83f094ea-1b7b-4dc9-b309-37f9718b45f5,6,move white board eraser up one square
1455-83f094ea-1b7b-4dc9-b309-37f9718b45f5,3,move cassette tape down one square
1455-83f094ea-1b7b-4dc9-b309-37f9718b45f5,2,move block left one square
1455-83f094ea-1b7b-4dc9-b309-37f9718b45f5,7,move candle down one square
1455-83f094ea-1b7b-4dc9-b309-37f9718b45f5,5,move round hairbrush left one square
1455-83f094ea-1b7b-4dc9-b309-37f9718b45f5,8,move computer mouse up one square
1455-83f094ea-1b7b-4dc9-b309-37f9718b45f5,1,move sunglasses right one square
1530-63446cf3-b006-4888-8af1-dc928951fabb,8,"nice~~~ Next, can you move the mouse up one square?"
1530-63446cf3-b006-4888-8af1-dc928951fabb,5,"Ok, now we need to move the brush one square to the left~~~"
1530-63446cf3-b006-4888-8af1-dc928951fabb,4,"nice~~~ now the measuring cup needs to be moved one square down, I can't see what's in the square~~~"
1530-63446cf3-b006-4888-8af1-dc928951fabb,1,nice~~~ now the sun glasses need to be moved one square to the right~~~
1530-63446cf3-b006-4888-8af1-dc928951fabb,7,"nice, now the candle needs to be moved down one square"
1530-63446cf3-b006-4888-8af1-dc928951fabb,6,now the eraser (like a chalk board eraser) needs to be moved up one square
1530-63446cf3-b006-4888-8af1-dc928951fabb,3,now move the tape cassette one square down
1530-63446cf3-b006-4888-8af1-dc928951fabb,2,now move the wooden block with the B one square to the left
1590-9eeaa5f0-c5a2-49bb-8227-d95a13fb8ea3,8,Move the silver mouse up one square~~~
1590-9eeaa5f0-c5a2-49bb-8227-d95a13fb8ea3,2,Move the block with a blue B on it to the LEFT one square~~~
1590-9eeaa5f0-c5a2-49bb-8227-d95a13fb8ea3,5,Move the hair brush LEFT one square~~~
1590-9eeaa5f0-c5a2-49bb-8227-d95a13fb8ea3,3,Move the cassette tape DOWN one square~~~
1590-9eeaa5f0-c5a2-49bb-8227-d95a13fb8ea3,4,Move the Pyrex measuring cup DOWN one square~~~
1590-9eeaa5f0-c5a2-49bb-8227-d95a13fb8ea3,7,Move the red candle DOWN one square~~~
1590-9eeaa5f0-c5a2-49bb-8227-d95a13fb8ea3,6,Move the EXPO dry eraser UP one square~~~
1590-9eeaa5f0-c5a2-49bb-8227-d95a13fb8ea3,1,Move the sunglasses RIGHT one square~~~
1625-e9aca54a-0b20-416d-82ec-a29cfaa8f991,7,Move the candle down one space
1625-e9aca54a-0b20-416d-82ec-a29cfaa8f991,1,Move the sunglasses to the right one space
1625-e9aca54a-0b20-416d-82ec-a29cfaa8f991,8,Move the computer mouse up one space
1625-e9aca54a-0b20-416d-82ec-a29cfaa8f991,5,Move the hairbrush to the left one space
1625-e9aca54a-0b20-416d-82ec-a29cfaa8f991,2,Move the toy block to the left one space
1625-e9aca54a-0b20-416d-82ec-a29cfaa8f991,3,Move the cassette tape down one space
1625-e9aca54a-0b20-416d-82ec-a29cfaa8f991,4,Move the Pyrex measuring cup down one space
1625-e9aca54a-0b20-416d-82ec-a29cfaa8f991,6,Move the Expo eraser up one space
1627-6d009f25-8f2e-4d59-8756-8ce5dbb255b6,8,mouse up one
1627-6d009f25-8f2e-4d59-8756-8ce5dbb255b6,2,b block left
1627-6d009f25-8f2e-4d59-8756-8ce5dbb255b6,3,tape down
1627-6d009f25-8f2e-4d59-8756-8ce5dbb255b6,5,brush left one
1627-6d009f25-8f2e-4d59-8756-8ce5dbb255b6,1,glasses right
1627-6d009f25-8f2e-4d59-8756-8ce5dbb255b6,6,eraser up
1627-6d009f25-8f2e-4d59-8756-8ce5dbb255b6,4,meausre down
1627-6d009f25-8f2e-4d59-8756-8ce5dbb255b6,7,candle down
1710-2b2ffe4f-4e15-46f3-a881-2bb207e6f943,2,Move toy box to left once
1710-2b2ffe4f-4e15-46f3-a881-2bb207e6f943,3,Move tape down once
1710-2b2ffe4f-4e15-46f3-a881-2bb207e6f943,6,Mover eraser up once
1710-2b2ffe4f-4e15-46f3-a881-2bb207e6f943,7,move candle down once
1710-2b2ffe4f-4e15-46f3-a881-2bb207e6f943,4,Move big measuring cup down
1710-2b2ffe4f-4e15-46f3-a881-2bb207e6f943,1,move black glasses to the right once
1710-2b2ffe4f-4e15-46f3-a881-2bb207e6f943,5,move circular brush to the left once
1710-2b2ffe4f-4e15-46f3-a881-2bb207e6f943,8,silver mouse up
1761-0d4777ae-ad0a-44e4-9b0e-d53fcabccb5a,8,move the computer mouse up
1761-0d4777ae-ad0a-44e4-9b0e-d53fcabccb5a,3,move the cassette tape down
1761-0d4777ae-ad0a-44e4-9b0e-d53fcabccb5a,2,move the B block left
1761-0d4777ae-ad0a-44e4-9b0e-d53fcabccb5a,7,candle down
1761-0d4777ae-ad0a-44e4-9b0e-d53fcabccb5a,4,large pyrex measuring cup down
1761-0d4777ae-ad0a-44e4-9b0e-d53fcabccb5a,5,comb left
1761-0d4777ae-ad0a-44e4-9b0e-d53fcabccb5a,1,sunglasses right
1761-0d4777ae-ad0a-44e4-9b0e-d53fcabccb5a,6,whiteboard eraser up
1902-2cad7ac0-96be-42b1-a2e0-c5864d3961ae,1,"sunglasses, right one"
1902-2cad7ac0-96be-42b1-a2e0-c5864d3961ae,3,"tape, down one"
1902-2cad7ac0-96be-42b1-a2e0-c5864d3961ae,7,"candle, down one"
1902-2cad7ac0-96be-42b1-a2e0-c5864d3961ae,8,"mouse, up 1"
1902-2cad7ac0-96be-42b1-a2e0-c5864d3961ae,4,"pyrex, down"
1902-2cad7ac0-96be-42b1-a2e0-c5864d3961ae,6,"eraser, up 1"
1902-2cad7ac0-96be-42b1-a2e0-c5864d3961ae,2,b block left 1
1902-2cad7ac0-96be-42b1-a2e0-c5864d3961ae,5,"round brush, left 1"
1985-4cda833e-ea59-444e-b7f7-c5f8bf10a243,8,move mouse to the slot above it
1985-4cda833e-ea59-444e-b7f7-c5f8bf10a243,2,toy alphabet block left blue with B
1985-4cda833e-ea59-444e-b7f7-c5f8bf10a243,5,round brush left
1985-4cda833e-ea59-444e-b7f7-c5f8bf10a243,6,erasure above black with expo on it
1985-4cda833e-ea59-444e-b7f7-c5f8bf10a243,3,cassette tape below
1985-4cda833e-ea59-444e-b7f7-c5f8bf10a243,4,measuring cup below large pyrex yes
1985-4cda833e-ea59-444e-b7f7-c5f8bf10a243,7,red candle below
1985-4cda833e-ea59-444e-b7f7-c5f8bf10a243,1,sunglasses (black) right
2061-da69236f-9200-4ed8-aaf0-58fe064fa29b,8,move mouse up one square
2061-da69236f-9200-4ed8-aaf0-58fe064fa29b,6,move eraser up one square
2061-da69236f-9200-4ed8-aaf0-58fe064fa29b,3,move cassette down one square
2061-da69236f-9200-4ed8-aaf0-58fe064fa29b,2,move B block left one square
2061-da69236f-9200-4ed8-aaf0-58fe064fa29b,4,move pyrex measuring cup down one square
2061-da69236f-9200-4ed8-aaf0-58fe064fa29b,7,move red candle down one square
2061-da69236f-9200-4ed8-aaf0-58fe064fa29b,5,move hair brush left one square
2061-da69236f-9200-4ed8-aaf0-58fe064fa29b,1,move silver sunglasses right one square
2424-e0f68d15-48c9-4e47-b792-605560d7a848,1,move the glasses to the right
2424-e0f68d15-48c9-4e47-b792-605560d7a848,5,move the brush left
2424-e0f68d15-48c9-4e47-b792-605560d7a848,8,move mouse up
2424-e0f68d15-48c9-4e47-b792-605560d7a848,3,move cassette down once
2424-e0f68d15-48c9-4e47-b792-605560d7a848,6,move expo up once
2424-e0f68d15-48c9-4e47-b792-605560d7a848,2,move building block left once
2424-e0f68d15-48c9-4e47-b792-605560d7a848,4,move pyrex cup down
2424-e0f68d15-48c9-4e47-b792-605560d7a848,7,move candle down once
2551-8ca31618-cc9a-40a6-a06d-b843129fdce8,8,move the mouse up one
2551-8ca31618-cc9a-40a6-a06d-b843129fdce8,2,move the letter block to the left one
2551-8ca31618-cc9a-40a6-a06d-b843129fdce8,6,move the araser up one eraser
2551-8ca31618-cc9a-40a6-a06d-b843129fdce8,5,move brush to the left one
2551-8ca31618-cc9a-40a6-a06d-b843129fdce8,1,move sunglasses to the right one
2551-8ca31618-cc9a-40a6-a06d-b843129fdce8,7,candle down one
2551-8ca31618-cc9a-40a6-a06d-b843129fdce8,3,cassette tape down one
2551-8ca31618-cc9a-40a6-a06d-b843129fdce8,4,measuring cup with handle down one
2639-58581614-3b73-42d8-952a-7193e7b52b79,8,Move the mouse up one space
2639-58581614-3b73-42d8-952a-7193e7b52b79,7,move the candle down one space
2639-58581614-3b73-42d8-952a-7193e7b52b79,2,move the b block left one space
2639-58581614-3b73-42d8-952a-7193e7b52b79,4,move the pyrex down one space
2639-58581614-3b73-42d8-952a-7193e7b52b79,6,move the eraser up one space
2639-58581614-3b73-42d8-952a-7193e7b52b79,3,move the tape down one space
2639-58581614-3b73-42d8-952a-7193e7b52b79,5,move the round brush left one space
2639-58581614-3b73-42d8-952a-7193e7b52b79,1,move the sunglasses right one space
2647-ea0408bb-61ca-4c52-9583-6826b86967a2,6,Move the expo eraser up one box
2647-ea0408bb-61ca-4c52-9583-6826b86967a2,4,Move the pyrex measuring cup down one box
2647-ea0408bb-61ca-4c52-9583-6826b86967a2,5,"Move the round hair brush one box to the side, so that it is next to the ring"
2647-ea0408bb-61ca-4c52-9583-6826b86967a2,2,Move the block with the letter B one box to the side
2647-ea0408bb-61ca-4c52-9583-6826b86967a2,7,Move the red candle one box down
2647-ea0408bb-61ca-4c52-9583-6826b86967a2,3,move the cassette tape one box down
2647-ea0408bb-61ca-4c52-9583-6826b86967a2,1,"Move the sunglasses one box to the side, they will be further away from the saxophone"
2647-ea0408bb-61ca-4c52-9583-6826b86967a2,8,move the mouse one box up
2762-7c6e403e-e6c1-434c-a474-f37162627a34,5,"Move the hairbrush in the bottom row, one square to the left"
2762-7c6e403e-e6c1-434c-a474-f37162627a34,6,Move the eraser on the bottom row one square up
2762-7c6e403e-e6c1-434c-a474-f37162627a34,1,"Move the sunglasses in the bottom row, one square to the right~~~"
2762-7c6e403e-e6c1-434c-a474-f37162627a34,7,Move the candle in the top row one square down
2762-7c6e403e-e6c1-434c-a474-f37162627a34,2,"Move the B block in the 3rd row, one square to the left"
2762-7c6e403e-e6c1-434c-a474-f37162627a34,8,"Move the mouse in the 3rd row, one square up"
2762-7c6e403e-e6c1-434c-a474-f37162627a34,4,"Move the pyrex measuring cup in the 3rd row, down one square"
2762-7c6e403e-e6c1-434c-a474-f37162627a34,3,"Move the cassette in the top row, one square down"
3075-f2ea5c22-1e1d-412b-9454-48d4a17cb50c,5,"Move the hairbrush one square to the left, toward the ring~~~"
3075-f2ea5c22-1e1d-412b-9454-48d4a17cb50c,1,Move the sunglasses to the right~~~
3075-f2ea5c22-1e1d-412b-9454-48d4a17cb50c,7,Move the red candle down one square~~~
3075-f2ea5c22-1e1d-412b-9454-48d4a17cb50c,8,Move the computer mouse up one~~~
3075-f2ea5c22-1e1d-412b-9454-48d4a17cb50c,6,Move the EXPO eraser up one
3075-f2ea5c22-1e1d-412b-9454-48d4a17cb50c,2,Move the B block left one
3075-f2ea5c22-1e1d-412b-9454-48d4a17cb50c,3,Move the cassette tape down
3075-f2ea5c22-1e1d-412b-9454-48d4a17cb50c,4,Move the Pyrex cup down
3222-f68d2df5-8977-4ff2-9ee9-c60f8ddb61f1,1,3rd square on the very bottom move to the right 1 square
3222-f68d2df5-8977-4ff2-9ee9-c60f8ddb61f1,3,1st row 3rd square move down 1 square
3222-f68d2df5-8977-4ff2-9ee9-c60f8ddb61f1,7,1st row 1st square move down 1 square
3222-f68d2df5-8977-4ff2-9ee9-c60f8ddb61f1,4,3rd row 4th square move down 1 square
3222-f68d2df5-8977-4ff2-9ee9-c60f8ddb61f1,2,3rd row 4th square move left 1 square
3222-f68d2df5-8977-4ff2-9ee9-c60f8ddb61f1,8,3rd row 4th square move up 1 square
3222-f68d2df5-8977-4ff2-9ee9-c60f8ddb61f1,5,4th row 3rd square move left 1 square
3222-f68d2df5-8977-4ff2-9ee9-c60f8ddb61f1,6,4th row 2nd square move up 1 square
3256-9d713cc0-958a-43cb-b12c-44daee3e492d,5,move hairbrush one to the left
3256-9d713cc0-958a-43cb-b12c-44daee3e492d,7,red candle down one
3256-9d713cc0-958a-43cb-b12c-44daee3e492d,4,pyrex measuring cup down one
3256-9d713cc0-958a-43cb-b12c-44daee3e492d,2,B letter block left one
3256-9d713cc0-958a-43cb-b12c-44daee3e492d,6,expo chaulk eraser up one
3256-9d713cc0-958a-43cb-b12c-44daee3e492d,3,cassette down one
3256-9d713cc0-958a-43cb-b12c-44daee3e492d,1,glasses right one
3256-9d713cc0-958a-43cb-b12c-44daee3e492d,8,mouse up one
3374-01519e79-6759-4f00-b000-cbd5605c12bb,2,Move the toy block one square left
3374-01519e79-6759-4f00-b000-cbd5605c12bb,7,Move the red candle stick down one sqaure
3374-01519e79-6759-4f00-b000-cbd5605c12bb,1,Move the sunglasses to the right
3374-01519e79-6759-4f00-b000-cbd5605c12bb,8,Computer mouse up 1
3374-01519e79-6759-4f00-b000-cbd5605c12bb,4,Pyrex cup down 1
3374-01519e79-6759-4f00-b000-cbd5605c12bb,6,eraser up
3374-01519e79-6759-4f00-b000-cbd5605c12bb,3,tape down 1
3374-01519e79-6759-4f00-b000-cbd5605c12bb,5,hairbrush left 1
3689-1eb3f292-866c-427b-aaee-a6f996e421c1,5,move hairbrush one square to the left
3689-1eb3f292-866c-427b-aaee-a6f996e421c1,6,move eraser one square up
3689-1eb3f292-866c-427b-aaee-a6f996e421c1,8,move mouse up one square
3689-1eb3f292-866c-427b-aaee-a6f996e421c1,4,move the pyrex beaker down one square
3689-1eb3f292-866c-427b-aaee-a6f996e421c1,2,move the rectangular B cube to the left
3689-1eb3f292-866c-427b-aaee-a6f996e421c1,3,move the cassette one square down
3689-1eb3f292-866c-427b-aaee-a6f996e421c1,7,move the red candle one square down
3689-1eb3f292-866c-427b-aaee-a6f996e421c1,1,move the sunglasses one square to the right
3750-0352fcb7-a7e4-4895-899a-dbe156f139df,5,brush to the left
3750-0352fcb7-a7e4-4895-899a-dbe156f139df,1,sunglasses right
3750-0352fcb7-a7e4-4895-899a-dbe156f139df,8,computer mouse up
3750-0352fcb7-a7e4-4895-899a-dbe156f139df,3,cassette down
3750-0352fcb7-a7e4-4895-899a-dbe156f139df,2,Wooden B left
3750-0352fcb7-a7e4-4895-899a-dbe156f139df,6,eraser up
3750-0352fcb7-a7e4-4895-899a-dbe156f139df,4,Pyrex measuring cup down
3750-0352fcb7-a7e4-4895-899a-dbe156f139df,7,candle down
3833-a49bf9ed-4704-4c7b-8a7b-a8ff919f0040,6,eraser up 1 space
3833-a49bf9ed-4704-4c7b-8a7b-a8ff919f0040,2,block with  letter be one spot tp left
3833-a49bf9ed-4704-4c7b-8a7b-a8ff919f0040,5,brush 1 left
3833-a49bf9ed-4704-4c7b-8a7b-a8ff919f0040,4,measure cup down
3833-a49bf9ed-4704-4c7b-8a7b-a8ff919f0040,3,tape down 1
3833-a49bf9ed-4704-4c7b-8a7b-a8ff919f0040,7,candle down 1
3833-a49bf9ed-4704-4c7b-8a7b-a8ff919f0040,1,glasses right
3833-a49bf9ed-4704-4c7b-8a7b-a8ff919f0040,8,mouse up 1
4241-cda4a373-ffd7-41e3-ae60-82b9d377a455,6,Move the object that makes things disappear up
4241-cda4a373-ffd7-41e3-ae60-82b9d377a455,7,Move the object that illuminates down
4241-cda4a373-ffd7-41e3-ae60-82b9d377a455,5,Move the object used for grooming to the left
4241-cda4a373-ffd7-41e3-ae60-82b9d377a455,4,Move the object with a handle down
4241-cda4a373-ffd7-41e3-ae60-82b9d377a455,8,Move the object that is also the name of a rodent up
4241-cda4a373-ffd7-41e3-ae60-82b9d377a455,1,Move the object that decreases light to the right
4241-cda4a373-ffd7-41e3-ae60-82b9d377a455,3,Move the object that records down
4241-cda4a373-ffd7-41e3-ae60-82b9d377a455,2,Move the square object with photos to the left
4250-c0df0e0b-03c5-427e-9972-4632861f7ad1,8,now move the mouse up one square
4250-c0df0e0b-03c5-427e-9972-4632861f7ad1,5,Move the weird circular hairbrush  thing (curler?) left one square
4250-c0df0e0b-03c5-427e-9972-4632861f7ad1,1,Move the aviator sunglasses right~~~
4250-c0df0e0b-03c5-427e-9972-4632861f7ad1,4,"glass measuring cup down~~~ Also, sorry if I sound rude now, just trying to save time typing less~~~"
4250-c0df0e0b-03c5-427e-9972-4632861f7ad1,3,cassette tape down
4250-c0df0e0b-03c5-427e-9972-4632861f7ad1,6,black eraser up
4250-c0df0e0b-03c5-427e-9972-4632861f7ad1,2,B.block left
4250-c0df0e0b-03c5-427e-9972-4632861f7ad1,7,tall red candle down
4715-4501143e-ea94-4532-9726-05fa3429c32d,5,hairbrush left one
4715-4501143e-ea94-4532-9726-05fa3429c32d,6,eraser up one
4715-4501143e-ea94-4532-9726-05fa3429c32d,4,measuring cup down one
4715-4501143e-ea94-4532-9726-05fa3429c32d,1,sunglasses right one
4715-4501143e-ea94-4532-9726-05fa3429c32d,2,B block left one
4715-4501143e-ea94-4532-9726-05fa3429c32d,3,tape down one above soap
4715-4501143e-ea94-4532-9726-05fa3429c32d,7,candlestick down one
4715-4501143e-ea94-4532-9726-05fa3429c32d,8,mouse up one
5041-402509fd-fa04-4bc8-932a-2ef7457c88d3,1,move glasses right
5041-402509fd-fa04-4bc8-932a-2ef7457c88d3,3,tape down
5041-402509fd-fa04-4bc8-932a-2ef7457c88d3,6,expo up
5041-402509fd-fa04-4bc8-932a-2ef7457c88d3,8,mouse up
5041-402509fd-fa04-4bc8-932a-2ef7457c88d3,7,candle stick down
5041-402509fd-fa04-4bc8-932a-2ef7457c88d3,5,brush left
5041-402509fd-fa04-4bc8-932a-2ef7457c88d3,2,b block left
5041-402509fd-fa04-4bc8-932a-2ef7457c88d3,4,pyrex down
5218-1b6b0df7-63b6-440f-8e22-de9217a8e1b1,4,"Next, move the measuring cup down one square"
5218-1b6b0df7-63b6-440f-8e22-de9217a8e1b1,8,Move the computer mouse up also
5218-1b6b0df7-63b6-440f-8e22-de9217a8e1b1,3,Move the cassette tape down
5218-1b6b0df7-63b6-440f-8e22-de9217a8e1b1,1,Move the sunglasses to the right
5218-1b6b0df7-63b6-440f-8e22-de9217a8e1b1,2,"Move the blue ""B"" block to the left"
5218-1b6b0df7-63b6-440f-8e22-de9217a8e1b1,6,Move the eraser up
5218-1b6b0df7-63b6-440f-8e22-de9217a8e1b1,7,Move the red candle down
5218-1b6b0df7-63b6-440f-8e22-de9217a8e1b1,5,Move the hairbrush to the left
5818-3e5f1ebe-d3b0-427e-a8cd-df1f0781e5c0,3,cassette down one space
5818-3e5f1ebe-d3b0-427e-a8cd-df1f0781e5c0,7,candle down
5818-3e5f1ebe-d3b0-427e-a8cd-df1f0781e5c0,1,sunglasses one to the right
5818-3e5f1ebe-d3b0-427e-a8cd-df1f0781e5c0,8,move mouse up
5818-3e5f1ebe-d3b0-427e-a8cd-df1f0781e5c0,6,eraser up
5818-3e5f1ebe-d3b0-427e-a8cd-df1f0781e5c0,4,big measuring cup down
5818-3e5f1ebe-d3b0-427e-a8cd-df1f0781e5c0,2,"""b"" block left"
5818-3e5f1ebe-d3b0-427e-a8cd-df1f0781e5c0,5,round brush left
5916-d53d4ab6-2f9f-47a1-bdf5-744cc44f8b2a,8,perfect~~~ Now the mouse~~~ same move
5916-d53d4ab6-2f9f-47a1-bdf5-744cc44f8b2a,6,eraser up
5916-d53d4ab6-2f9f-47a1-bdf5-744cc44f8b2a,1,sunglasses to the right
5916-d53d4ab6-2f9f-47a1-bdf5-744cc44f8b2a,2,block goes one square to the left
5916-d53d4ab6-2f9f-47a1-bdf5-744cc44f8b2a,5,brush goes to the left
5916-d53d4ab6-2f9f-47a1-bdf5-744cc44f8b2a,7,red candle down one square
5916-d53d4ab6-2f9f-47a1-bdf5-744cc44f8b2a,4,pyrex cup with red writing down one
5916-d53d4ab6-2f9f-47a1-bdf5-744cc44f8b2a,3,cassette tape down one
6229-27cb9668-3653-4e1b-a73d-a44746d18b32,8,Move the mouse up
6229-27cb9668-3653-4e1b-a73d-a44746d18b32,1,Move the sunglasses to the right
6229-27cb9668-3653-4e1b-a73d-a44746d18b32,6,Move the eraser up
6229-27cb9668-3653-4e1b-a73d-a44746d18b32,4,Move the measuring cup down
6229-27cb9668-3653-4e1b-a73d-a44746d18b32,3,Move the cassette tape down
6229-27cb9668-3653-4e1b-a73d-a44746d18b32,7,Move the candle down
6229-27cb9668-3653-4e1b-a73d-a44746d18b32,5,Move the hairbrush to the left
6229-27cb9668-3653-4e1b-a73d-a44746d18b32,2,"Move the block with the letter ""B"" to the left"
6540-7f14fa62-c692-4860-90d4-32baa1137833,6,Please move the eraser to the empty box above it
6540-7f14fa62-c692-4860-90d4-32baa1137833,5,please move the brush one space to the left
6540-7f14fa62-c692-4860-90d4-32baa1137833,2,"move the block with the letter ""B"" on it one space to the left"
6540-7f14fa62-c692-4860-90d4-32baa1137833,4,move the measuring cup one space down
6540-7f14fa62-c692-4860-90d4-32baa1137833,1,move the glasses one space to the right
6540-7f14fa62-c692-4860-90d4-32baa1137833,8,move the mouse to the space above it
6540-7f14fa62-c692-4860-90d4-32baa1137833,3,move the cassette tape one space down
6540-7f14fa62-c692-4860-90d4-32baa1137833,7,move the red candle one space down
6708-44bfb893-c34e-412a-9f7a-e95b79d6eab1,7,move the candle the same direction
6708-44bfb893-c34e-412a-9f7a-e95b79d6eab1,3,move the cassette tape downwards
6708-44bfb893-c34e-412a-9f7a-e95b79d6eab1,2,block left
6708-44bfb893-c34e-412a-9f7a-e95b79d6eab1,5,hairbrush left
6708-44bfb893-c34e-412a-9f7a-e95b79d6eab1,6,eraser near feather up
6708-44bfb893-c34e-412a-9f7a-e95b79d6eab1,4,pyrex measuring cup below chair~~~~~~down
6708-44bfb893-c34e-412a-9f7a-e95b79d6eab1,1,sunglasses next to sax right
6708-44bfb893-c34e-412a-9f7a-e95b79d6eab1,8,"silver mouse, up diagonal from frying pan"
7243-acd434ec-b5d6-4d4e-8c98-bc4cdb2b00ec,7,drag the candle down
